지역,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울,4.8,9.9,8,7.3,7.5,8.2,7.3,6.4,7.1,3.3,7.2
부산,3.5,4.9,6.6,7.1,5.4,4.6,5.4,5.5,5.5,7.2,5.2
대구,0.4,2.6,1.6,3.1,2,1.8,1.8,1.9,1.5,1.4,1.4
인천,1.7,3.6,2.7,2.3,2.4,2.6,2.7,3.1,3.2,3.6,3.7
광주,0.1,0.9,1.2,1.5,1.4,2.4,2.8,1.7,2.4,0.8,0.6
대전,1,1.3,1.3,1.8,1.5,1.9,1.7,1.5,1.3,1.5,1.6
울산,0.3,0.9,1.1,1,0.9,0.1,0.9,1,0.7,1.3,0.7
경기,8,10.8,11,11.7,11.2,13,14.1,15,14,10.3,16.5
강원,23,12.5,13.9,12.1,13.1,13.6,12.6,12.7,13,16.1,13.6
충북,4.3,6.2,4.9,4.9,5.7,4.7,4.8,5.5,4.7,3.5,3.4
충남,10.6,10.4,8.6,8.2,9.4,9.8,10.4,9.1,9,8.4,7.8
전북,5.3,5.1,6.6,6.3,6.1,6.7,6.1,6.5,6.3,6.6,6.5
전남,8.9,7.2,7.4,8.8,8.2,7.5,8.1,8.5,8.6,10.2,8.3
경북,10.8,10.8,10.5,9.8,10.9,9.1,7.9,8,8.2,9.3,9.3
경남,9.6,8.2,8.9,9.4,9.6,9.5,7.8,8.4,8.7,10.6,8.7
제주,7.7,4.7,5.7,4.7,4.7,4.5,5.6,5.2,5.8,5.9,5.5
,100,100,100,100,100,100,100,100,100,100,100
